date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,total_rooms,log_price,SquareRoot_price,BoxCox_Price,city_encoded,street_hashed,hashed_street
2014-05-02 00:00:00,313000.0,3.0,1.5,0.07365223993925588,0.006775461539894558,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,4.5,12.65395846952229,559.4640292279746,8.270693985915683,36,1405342498069353986,6dfce6ba342c1453d53f4fbad459190f
2014-05-02 00:00:00,2384000.0,5.0,2.5,0.24905087319665908,0.007835466383501929,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,7.5,14.684290307167377,1544.0207252495027,9.609814609532297,35,7277149427030200825,eca9bb465b9b6f538c3c8354f463a914
2014-05-02 00:00:00,342000.0,3.0,2.0,0.1184510250569476,0.010533914566217703,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,5.0,12.742566016044742,584.8076606885378,8.752432166767347,18,-3414748095272398425,f28aaaaf79810e27de8be497f141e983
2014-05-02 00:00:00,420000.0,3.0,2.25,0.12376613515565679,0.006885374168669312,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,5.25,12.948009990259552,648.074069840786,8.799828827273489,3,699829414582080499,57b51c9b4274c3310f4bb6ee86e238fa
2014-05-02 00:00:00,550000.0,4.0,2.5,0.11921032649962035,0.009186087669293392,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,6.5,13.217673557208654,741.6198487095663,8.75930344160338,31,-1300650195434548737,0f4f6aaeea3eca19264763a7b472d25c
2014-05-02 00:00:00,490000.0,2.0,1.0,0.03872437357630979,0.005348460291734198,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,3.0,13.102160670086809,700.0,7.72361871214164,35,8489336680219267628,ddf9ee045a56561aa4764577d340b77f
2014-05-02 00:00:00,335000.0,2.0,2.0,0.07441154138192863,0.0017902718008904787,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,4.0,12.721885810807203,578.7918451395112,8.280445029418182,31,6894954702096598691,626310d8ccf2f12ef6056417991cb9fc
2014-05-02 00:00:00,482000.0,4.0,2.5,0.1776765375854214,0.032815439929953984,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,6.5,13.085699393032737,694.2621983083912,9.206583874054365,21,-1191288589747257441,c8a663b0f08cbec2202e1f2f30a16410
2014-05-02 00:00:00,452500.0,3.0,2.5,0.15641609719058466,0.08177126995659383,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,5.5,13.022543042122118,672.6812023536855,9.06003317241643,27,-4572361120844763127,150b1385afd52c593adc9d440792a879
2014-05-02 00:00:00,640000.0,4.0,2.0,0.08731966590736523,0.005180796959704912,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,6.0,13.369223455335854,800.0,8.436367135806446,35,-73135276239814376,94d26898032f11dcf5d5ee6552c18918
2014-05-02 00:00:00,463000.0,3.0,1.75,0.1017463933181473,0.0062240354701093535,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,4.75,13.045482333068371,680.44103344816,8.59189812177183,20,8548531651292639958,420dfc098dd8d18876ed5ad0ffaaa646
2014-05-02 00:00:00,1400000.0,4.0,2.5,0.19362186788154898,0.0031315784571247602,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,6.5,14.151982794585487,1183.2159566199232,9.307225256826692,35,6852096596021285036,2c035ed5e8a4a6d9021c438c180bdaa4
2014-05-02 00:00:00,588500.0,3.0,1.75,0.14882308276385725,0.013277072970807952,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,4.75,13.285332205682469,767.1375365604267,9.003723288865263,33,-143880583079963261,172b7b28c47778841393a198791336f2
2014-05-02 00:00:00,365000.0,3.0,1.0,0.054669703872437365,0.005399690754298701,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,4.0,12.80765263256463,604.1522986797286,8.00096543598808,35,-876351307651608356,6e0f95598bc231933c003edf654df9b0
2014-05-02 00:00:00,1200000.0,5.0,2.75,0.19286256643887623,0.008235995454460777,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,7.75,13.997832114758229,1095.4451150103323,9.302593157044482,35,8818918185210825728,aab0eba67a3246780ba85c88c375b26a
2014-05-02 00:00:00,242500.0,3.0,1.5,0.06302201974183752,0.008459546563833157,1.0,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,4.5,12.398756989359676,492.44289008980525,8.126291843372208,18,-2746358390389809065,bed27c55c8a5b11e53cb8028a67bee4e
2014-05-02 00:00:00,419000.0,3.0,1.5,0.09111617312072892,0.005646528437564038,1.0,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,4.5,12.945626198904275,647.3020933072903,8.479036393614361,3,3814793166048552174,544c413742eb26223e5265f34d239ff7
